									Cave Cap,180,2
									Cave Straight 01,180,2
	Cave Corner 01,180,0	Cave Straight 02,90,0	Cave Straight 01,90,0	Cave Straight 02,-90,0	Cave Straight 05,90,0	Cave 3 Way 01,180,0	Cave Elevation,90,0	Cave 3 Way 01,180,2	Cave Corner 01,0,2
	Cave Straight 03,0,0					Cave Straight 04,180,0		Cave Elevation,180,0	
	Cave Straight 01,0,0			Cave Corner 02,-180,0	Cave Straight 05,90,0	Cave 3 Way 01,90,0		Cave Elevation,180,-2	
	Cave Straight 05,0,0			Cave Straight 04,180,0		Cave Elevation,180,-2	Cave Cap,-90,-2	Cave 3 Way 01,90,-2	
	Cave Straight 04,180,0			Cave Straight 01,0,0		Cave Straight 02,0,-2		Cave Straight 04,0,-2	
base_station,0,0	Cave 3 Way 01,90,0			Cave Straight 04,0,0		Cave Elevation,180,-4		Cave Elevation,180,-4	
	Cave Elevation,180,-2			Cave Elevation,180,-2		Cave Straight 03,180,-4		Cave Straight 01,180,-4	
	Cave Corner 02,-90,-2	Cave Corner 01,90,-2		Cave Elevation,180,-4		Cave Corner 01,-90,-4	Cave 3 Way 01,180,-4	Cave Corner 02,0,-4	
		Cave Elevation,180,-4		Cave Elevation,180,-6			Cave Straight 05,0,-4		
		Cave Straight 01,0,-4		Cave Straight 02,180,-6			Cave Elevation,180,-6		
		Cave Elevation,180,-6		Cave Straight 04,180,-6			Cave Elevation,180,-8		
		Cave Corner 01,-90,-6	Cave Straight 02,90,-6	Cave 3 Way 01,0,-6	Cave Straight 01,-90,-6	Cave Elevation,-90,-8	Cave Corner 01,0,-8		
