tunnel_tile_5,180,0,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,270,-1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_2,270,-1,Extinguisher@0 -9 0 0 0 0			tunnel_tile_5,180,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,180,0,tunnel_tile_blocker@0 11 0 0 0 0;Backpack@0 0 2.5 -18 0 0		tunnel_tile_5,180,1,tunnel_tile_blocker@0 11 0 0 0 0		tunnel_tile_5,180,1,tunnel_tile_blocker@0 11 0 0 0 0				Rough Tunnel Tile Ramp,180,0,tunnel_tile_blocker@0 11 0 0 0 0	constrained_tunnel_tile_short,180,1,tunnel_tile_blocker@0 11 0 0 0 0		constrained_tunnel_tile_short,180,2,tunnel_tile_blocker@0 11 0 0 0 0	
tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0	Rough Tunnel Tile Straight,90,0,tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@-9 0 0 0 0 0	Rough Tunnel Tile Straight,180,-1			tunnel_tile_5,180,1	tunnel_tile_1,0,1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_2,270,1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,180,1		tunnel_tile_5,180,1				tunnel_tile_5,180,1,Backpack@0 0 0 0 0 0	tunnel_tile_5,180,1		tunnel_tile_5,180,2	
constrained_tunnel_tile_short,180,0	tunnel_tile_2,270,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_7,180,-1			Rough Tunnel Tile Straight,180,1	Rough Tunnel Tile 4-way Intersection,0,1,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,270,1	tunnel_tile_1,0,1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,270,1	tunnel_tile_1,0,1	Rough Tunnel Tile Straight,90,1	constrained_tunnel_tile_short,90,1	constrained_tunnel_tile_tall,90,1	tunnel_tile_1,0,1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_2,180,1	tunnel_tile_2,0,2	tunnel_tile_1,0,2	tunnel_tile_5,90,2,tunnel_tile_blocker@11 0 0 0 0 0
tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,0	tunnel_tile_2,270,0,tunnel_tile_blocker@0 -11 0 0 0 0	constrained_tunnel_tile_tall,180,0	tunnel_tile_5,270,1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,270,1,Rescue Randy@0 0 0 0 0 0	tunnel_tile_1,0,1	tunnel_tile_5,90,1	constrained_tunnel_tile_short,90,1	tunnel_tile_5,90,1	tunnel_tile_5,90,1	tunnel_tile_1,0,1	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,270,1	constrained_tunnel_tile_tall,90,2	tunnel_tile_5,90,2	tunnel_tile_5,90,2	tunnel_tile_2,180,2	tunnel_tile_5,0,2,Rescue Randy@0 0 0 0 0 0	
tunnel_tile_5,0,0,Backpack@0 0 0 0 0 0	tunnel_tile_5,180,0	tunnel_tile_2,270,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,180,0			tunnel_tile_5,180,1	constrained_tunnel_tile_short,180,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_2,0,1,tunnel_tile_blocker@11 0 0 0 0 0;Extinguisher@2 -1 0 0 0 0	tunnel_tile_5,180,1,tunnel_tile_blocker@0 11 0 0 0 0		tunnel_tile_6,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	constrained_tunnel_tile_tall,0,1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,270,1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_2,270,1			Rough Tunnel Tile 90-degree Turn,90,2	Rough Tunnel Tile Straight,90,2,tunnel_tile_blocker@11 0 0 0 0 0
tunnel_tile_1,0,0,tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,180,0	Rough Tunnel Tile Straight,180,0	tunnel_tile_5,180,0			tunnel_tile_5,180,1	tunnel_tile_5,180,1	tunnel_tile_5,180,1	tunnel_tile_1,0,1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,90,1	tunnel_tile_5,90,1	constrained_tunnel_tile_short,90,1	tunnel_tile_2,270,1	Rough Tunnel Tile Straight,180,1	Rough Tunnel Tile Vertical Shaft,0,0,tunnel_tile_blocker@0 -11 0 0 0 0				
constrained_tunnel_tile_short,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	Rough Tunnel Tile Straight,180,0	tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	constrained_tunnel_tile_short,180,0			Rough Tunnel Tile Straight,180,1	tunnel_tile_1,0,1,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_5,180,1	tunnel_tile_5,180,1			tunnel_tile_2,90,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 -11 0 0 0 0	constrained_tunnel_tile_short,90,1	tunnel_tile_5,90,1	constrained_tunnel_tile_short,90,1	tunnel_tile_2,270,1	
tunnel_tile_5,270,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_5,180,0	tunnel_tile_6,270,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_2,270,1	tunnel_tile_5,180,1	tunnel_tile_1,0,1,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,1	tunnel_tile_1,0,1	tunnel_tile_5,90,1	Rough Tunnel Tile Straight,90,1	constrained_tunnel_tile_tall,90,1	Rough Tunnel Tile Vertical Shaft,270,1	tunnel_tile_2,270,2,tunnel_tile_blocker@0 -11 0 0 0 0;Phone@-0.8 -1.6 0.004 -90 0 0	tunnel_tile_6,90,-1,tunnel_tile_blocker@-11 0 5 0 0 0	tunnel_tile_6,270,-1	tunnel_tile_2,270,0	tunnel_tile_5,0,1	
constrained_tunnel_tile_short,270,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,270,0	tunnel_tile_1,0,0	tunnel_tile_1,0,0	tunnel_tile_6,270,0	tunnel_tile_1,0,1	tunnel_tile_1,0,1	tunnel_tile_5,90,1	tunnel_tile_1,0,1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,1	Rough Tunnel Tile Straight,90,1	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,90,0	tunnel_tile_5,90,0,Extinguisher@4 -1.5 0 0 0 0	Rough Tunnel Tile Straight,90,0	tunnel_tile_5,90,0	constrained_tunnel_tile_short,90,0	tunnel_tile_2,180,0	tunnel_tile_5,0,1,tunnel_tile_blocker@0 -11 0 0 0 0	
		tunnel_tile_5,180,0	tunnel_tile_5,0,0		tunnel_tile_5,0,1	Rough Tunnel Tile 4-way Intersection,0,1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,90,1	tunnel_tile_5,90,1	tunnel_tile_1,0,1	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,1	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,90,1	tunnel_tile_5,90,1	tunnel_tile_5,90,1	tunnel_tile_5,90,1	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	constrained_tunnel_tile_short,90,1	tunnel_tile_5,90,1,tunnel_tile_blocker@11 0 0 0 0 0;Backpack@0 0 0 0 0 0
