tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_6,0,0,tunnel_tile_blocker@0 11 5 0 0 0	tunnel_tile_5,270,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_2,270,0	tunnel_tile_5,180,0,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,180,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,180,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,180,0,tunnel_tile_blocker@0 11 0 0 0 0
tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_2,270,0	tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_2,270,0	tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_5,180,-1	tunnel_tile_1,0,1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,270,0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@11 0 0 0 0 0
tunnel_tile_5,270,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,0	tunnel_tile_1,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@11 0 0 0 0 0;Phone@2.2 4.1 0.008 90 180 0	tunnel_tile_6,180,0	tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_6,180,-1	tunnel_tile_6,0,0	tunnel_tile_5,180,0,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,180,0	tunnel_tile_6,0,-1	tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,90,0	tunnel_tile_5,270,0	tunnel_tile_1,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@11 0 0 0 0 0
tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0;Extinguisher@2 2 0.004 0 0 0	tunnel_tile_5,180,0	tunnel_tile_5,180,0	tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_5,180,1	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,0,Phone@2 4 0.008 90 180 30	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_6,0,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_2,0,-1	tunnel_tile_5,90,-1	tunnel_tile_6,270,-1	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0
tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_2,90,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_2,0,0	tunnel_tile_1,0,0	tunnel_tile_5,90,0	tunnel_tile_6,270,0,tunnel_tile_blocker@11 0 5 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,90,-1	tunnel_tile_2,180,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,180,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,0,-1
tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,90,0,tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_2,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_6,0,0,Backpack@2.2 10.1 5.004 0 0 20	tunnel_tile_5,180,0	tunnel_tile_5,180,0	tunnel_tile_2,270,0,tunnel_tile_blocker@-11 0 0 0 0 0;Rescue Randy@-1.25 -2 0.004 0 0 46		tunnel_tile_5,180,-1	tunnel_tile_5,180,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,180,-2,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0;Phone@-2.2 -4 0.008 90 190 0
tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,270,0	tunnel_tile_1,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0;Phone@1.2 -5.1 0.008 90 180 0	tunnel_tile_1,0,0	tunnel_tile_1,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,0	tunnel_tile_6,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,90,-1	tunnel_tile_5,90,-1	tunnel_tile_5,90,-1,tunnel_tile_blocker@11 0 0 0 0 0
tunnel_tile_2,90,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,270,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0;Extinguisher@2.1 2.1 0.004 0 0 0	tunnel_tile_1,0,0	tunnel_tile_5,90,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,90,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0;Drill@-1.9 -2 0.004 0 0 30	tunnel_tile_1,0,0,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,90,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,90,0,tunnel_tile_blocker@11 0 0 0 0 0
base_station,0,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_1,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_6,270,0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_2,180,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,180,0	
tunnel_tile_2,0,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0;Backpack@2.2 7.1 0.004 0 0 300	tunnel_tile_6,270,-1	tunnel_tile_1,0,0	tunnel_tile_6,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0;Drill@2.1 -2 0.004 0 0 0	tunnel_tile_2,270,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_6,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,0,1,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0;Extinguisher@0 5 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,0,1,tunnel_tile_blocker@0 -11 0 0 0 0;Rescue Randy@2.2 -2 0.004 0 0 0	
