		tunnel_tile_6,180,-2,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,0,0,tunnel_tile_blocker@0 11 5 0 0 0;Backpack@2 7.0 4.52 18 0 0	tunnel_tile_5,270,-1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,270,-1,Backpack@-10.2 1.9 0 0 0 -90	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,270,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_7,270,-1	tunnel_tile_2,270,0		tunnel_tile_7,180,-1,tunnel_tile_blocker@0 11 0 0 0 0;Rescue Randy@0 0 0 0 0 0	tunnel_tile_2,90,-4,tunnel_tile_blocker@0 11 0 0 0 0;Rescue Randy@0 6.4 0 0 0 30	tunnel_tile_1,0,-4,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,90,-4	tunnel_tile_5,90,-4,tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_5,180,-3,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_7,180,-4,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,180,-3,tunnel_tile_blocker@0 11 0 0 0 0			tunnel_tile_5,180,-4,tunnel_tile_blocker@0 11 0 0 0 0;Backpack@1.3 7.2 0 0 0 45					tunnel_tile_7,0,-4,tunnel_tile_blocker@0 11 5 0 0 0;Extinguisher@1.2 5.2 5 0 0 0 0		
		tunnel_tile_6,180,-1	tunnel_tile_7,0,-1			tunnel_tile_5,0,-1		tunnel_tile_2,0,0	tunnel_tile_5,90,0	tunnel_tile_1,0,0	tunnel_tile_5,90,0	tunnel_tile_2,180,0	tunnel_tile_6,90,-4,tunnel_tile_blocker@-11 0 5 0 0 0	tunnel_tile_1,0,-4	tunnel_tile_5,270,-4	tunnel_tile_6,270,-4	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-3,tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_5,180,-3	tunnel_tile_6,270,-5,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_2,270,-4	tunnel_tile_1,0,-4,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,90,-4	tunnel_tile_5,90,-4	tunnel_tile_5,90,-4	tunnel_tile_5,90,-4	tunnel_tile_1,0,-4,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_7,270,-4	tunnel_tile_5,90,-3,tunnel_tile_blocker@11 0 0 0 0 0
		tunnel_tile_5,180,0	tunnel_tile_7,180,-1			tunnel_tile_5,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0;Drill@-2 -5 0 0 0 45		tunnel_tile_5,180,0		tunnel_tile_6,0,-1				tunnel_tile_5,0,-4			tunnel_tile_6,180,-4,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,180,-3	tunnel_tile_5,180,-3		tunnel_tile_6,180,-4	tunnel_tile_7,180,-4	tunnel_tile_1,0,-3,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,270,-3	tunnel_tile_1,0,-2,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_6,90,-3	tunnel_tile_7,270,-3	tunnel_tile_1,0,-2,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0
tunnel_tile_5,270,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,270,0	tunnel_tile_1,0,0	tunnel_tile_1,0,0	tunnel_tile_7,270,0	tunnel_tile_5,90,1	tunnel_tile_7,90,0	tunnel_tile_5,90,0	tunnel_tile_2,180,0		tunnel_tile_5,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0		tunnel_tile_2,0,-4,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,270,-4	tunnel_tile_1,0,-4,tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_2,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0;Extinguisher@2 -5.5 0 0 0	tunnel_tile_5,270,-3	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-3	tunnel_tile_5,90,-3	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_6,90,-4	tunnel_tile_5,90,-4	tunnel_tile_5,90,-4	tunnel_tile_2,270,-4,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,0,-2,tunnel_tile_blocker@0 -11 0 0 0 0;Phone@-1.2 -7.2 0.008 90 180 0
tunnel_tile_5,270,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,270,0	tunnel_tile_1,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_6,90,-1	tunnel_tile_6,90,-2	tunnel_tile_5,90,-2	tunnel_tile_5,90,-2	tunnel_tile_6,90,-3	tunnel_tile_6,90,-4	tunnel_tile_6,90,-5	tunnel_tile_5,90,-5	tunnel_tile_6,270,-5	tunnel_tile_5,90,-4	tunnel_tile_6,270,-4	tunnel_tile_6,270,-3	tunnel_tile_6,90,-3	tunnel_tile_5,90,-3,Drill@9.5 1.9 0 0 0 0	tunnel_tile_5,90,-3	tunnel_tile_1,0,-3	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,90,-3	tunnel_tile_6,90,-4	tunnel_tile_5,90,-4	tunnel_tile_6,90,-5	tunnel_tile_6,90,-6	tunnel_tile_1,0,-6,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,270,-6	tunnel_tile_1,0,-5,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,90,-5,tunnel_tile_blocker@11 0 0 0 0 0
base_station,0,0	tunnel_tile_5,90,0	tunnel_tile_1,0,0	tunnel_tile_5,90,0	tunnel_tile_2,180,0,tunnel_tile_blocker@0 11 0 0 0 0				tunnel_tile_6,180,-4,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_6,180,-4,tunnel_tile_blocker@0 11 0 0 0 0		tunnel_tile_7,180,-4,tunnel_tile_blocker@0 11 0 0 0 0			tunnel_tile_2,90,-3,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,270,-3	tunnel_tile_5,270,-3	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-3	tunnel_tile_6,270,-3	tunnel_tile_5,90,-2	tunnel_tile_7,270,-2	tunnel_tile_7,270,-1	tunnel_tile_7,90,-1	tunnel_tile_2,270,-1	tunnel_tile_5,0,-6		tunnel_tile_5,0,-5	tunnel_tile_5,180,-5,tunnel_tile_blocker@0 11 0 0 0 0
		tunnel_tile_5,0,0	tunnel_tile_5,270,-5,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,-5,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,270,-5	tunnel_tile_6,270,-5	tunnel_tile_6,270,-4	tunnel_tile_1,0,-3	tunnel_tile_1,0,-3	tunnel_tile_5,270,-3	tunnel_tile_1,0,-3	tunnel_tile_6,90,-4	tunnel_tile_6,270,-4	tunnel_tile_5,270,-3	tunnel_tile_1,0,-3	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,90,-3,tunnel_tile_blocker@11 0 0 0 0 0;Rescue Randy@5.2 1 0 0 0 15	tunnel_tile_5,0,-3	tunnel_tile_1,0,-3,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_6,90,-4	tunnel_tile_7,270,-4	tunnel_tile_1,0,-3,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_7,90,-4	tunnel_tile_2,270,-4	tunnel_tile_2,180,-1,tunnel_tile_blocker@-11 0 0 0 0 0;Extinguisher@-5.0 3.2 0 0 0 0	tunnel_tile_6,180,-6		tunnel_tile_2,90,-5	tunnel_tile_1,0,-5,tunnel_tile_blocker@11 0 0 0 0 0
		tunnel_tile_5,0,0	tunnel_tile_5,270,-5,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,-5	tunnel_tile_1,0,-5,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-5,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-5,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_6,0,-4	tunnel_tile_5,0,-3		tunnel_tile_7,0,-4				tunnel_tile_5,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0		tunnel_tile_5,0,-3	tunnel_tile_1,0,-3,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,90,-3	tunnel_tile_5,90,-3,tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_6,180,-3		tunnel_tile_5,0,-4		tunnel_tile_7,180,-5			tunnel_tile_5,0,-5
		tunnel_tile_6,0,-1	tunnel_tile_5,270,-5,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,-5,tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,0,-5,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_6,180,-5,tunnel_tile_blocker@0 -11 5 0 0 0;Backpack@1.2 -7.0 4.52 18 0 180	tunnel_tile_5,0,-5,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,0,-4	tunnel_tile_5,0,-3		tunnel_tile_5,0,-4				tunnel_tile_2,0,-3,Phone@-2.3 -7.0 0.008 90 180 0	tunnel_tile_5,270,-3	tunnel_tile_5,270,-3	tunnel_tile_1,0,-3,tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_6,180,-3			tunnel_tile_5,0,-2		tunnel_tile_5,0,-4		tunnel_tile_6,180,-4			tunnel_tile_6,0,-6
		tunnel_tile_5,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0;Drill@2 2 0 0 0 0	tunnel_tile_6,90,-4,tunnel_tile_blocker@-11 0 5 0 0 0;Rescue Randy@11 2 0 0 0 90	tunnel_tile_5,270,-4	tunnel_tile_5,270,-4	tunnel_tile_5,270,-4	tunnel_tile_5,270,-4	tunnel_tile_1,0,-4,tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0		tunnel_tile_5,0,-4,tunnel_tile_blocker@0 -11 0 0 0 0;Phone@-1.2 -7.2 0.008 90 180 0				tunnel_tile_5,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0			tunnel_tile_5,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,0,-2,tunnel_tile_blocker@0 -11 0 0 0 0;Extinguisher@2 -7.2 0 0 0 0			tunnel_tile_6,180,-2,tunnel_tile_blocker@0 -11 5 0 0 0;Phone@1.3 8.2 0.114 108 180 0		tunnel_tile_5,0,-4,tunnel_tile_blocker@0 -11 0 0 0 0		tunnel_tile_5,0,-3,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,270,-6,tunnel_tile_blocker@-11 0 0 0 0 0;Drill@5 0 0.12 0 0 33.3	tunnel_tile_5,270,-6	tunnel_tile_1,0,-6,tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0
