																																			tunnel_tile_5,-180,0,tunnel_tile_blocker@0 10 0 0 0 0					
														tunnel_tile_5,0,0,tunnel_tile_blocker@0 10 0 0 0 0																					tunnel_tile_5,-180,0					
			tunnel_tile_2,0,0	tunnel_tile_5,90,0	tunnel_tile_2,-90,0						tunnel_tile_2,0,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_1,90,0,tunnel_tile_blocker@10 0 0 0 0 0															tunnel_tile_2,0,0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0	tunnel_tile_2,-180,0					
			tunnel_tile_5,0,0		tunnel_tile_5,-180,0						tunnel_tile_5,0,0			tunnel_tile_2,90,0,Rescue Randy@14.509003 -1.585999 0.013687 0 -0 -135	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_2,-90,0			tunnel_tile_2,0,0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0,tunnel_tile_blocker@10 0 0 0 0 0		tunnel_tile_2,0,0	tunnel_tile_5,-90,0	tunnel_tile_2,-180,0											
			tunnel_tile_5,0,0		tunnel_tile_5,-180,0						tunnel_tile_5,0,0							tunnel_tile_5,-180,0			tunnel_tile_5,0,0						tunnel_tile_5,0,0,Phone@0.450012 3.399994 0 -90 0 90													
			tunnel_tile_2,90,0,Extinguisher@-1.5 12.848007 0.05 -90 0 90	tunnel_tile_5,-90,0	tunnel_tile_1,90,0,tunnel_tile_blocker@0 -10 0 0 0 0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0	Rough Tunnel Tile 90-degree Turn,-90,0	tunnel_tile_2,0,0	tunnel_tile_5,-90,0	tunnel_tile_1,0,0,tunnel_tile_blocker@10 0 0 0 0 0							tunnel_tile_1,-90,0,tunnel_tile_blocker@-10 0 0 0 0 0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0	tunnel_tile_1,-90,0,tunnel_tile_blocker@10 0 0 0 0 0						tunnel_tile_5,0,0													
								tunnel_tile_5,0,0	tunnel_tile_5,0,0		tunnel_tile_5,0,0							tunnel_tile_5,-180,0			tunnel_tile_5,0,0						tunnel_tile_5,0,0													
								tunnel_tile_5,0,0	tunnel_tile_5,0,0		tunnel_tile_2,90,0	tunnel_tile_5,90,0,Backpack@14.593994 -2.078995 0 0 0 90	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_2,-180,0			tunnel_tile_2,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_1,-180,0,tunnel_tile_blocker@0 -10 0 0 0 0	tunnel_tile_2,-90,0												
								tunnel_tile_5,0,0	tunnel_tile_5,0,0																			tunnel_tile_5,0,0												
								tunnel_tile_5,0,0	tunnel_tile_5,0,0																			tunnel_tile_5,0,0												
							tunnel_tile_2,0,0,Drill@18.384003 25.211998 0.05 135 90 -135	tunnel_tile_1,0,0	tunnel_tile_2,-180,0																			tunnel_tile_5,0,0												
							tunnel_tile_5,-180,0,tunnel_tile_blocker@20 10 0 0 0 0																					tunnel_tile_5,0,0												
							tunnel_tile_5,-180,0																					tunnel_tile_5,0,0												
			tunnel_tile_2,0,0	tunnel_tile_5,-90,0	tunnel_tile_5,90,0,Backpack@14.403297 1.899601 0 0 0 -0	tunnel_tile_5,-90,0	tunnel_tile_1,-90,0,tunnel_tile_blocker@10 0 0 0 0 0																					tunnel_tile_1,0,0,tunnel_tile_blocker@-10 0 0 0 0 0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0	tunnel_tile_1,-90,0,tunnel_tile_blocker@0 10 0 0 0 0	tunnel_tile_5,-90,0,Drill@10.846008 1.362801 -0 0 0 -45	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0,tunnel_tile_blocker@10 0 0 0 0 0					
			tunnel_tile_5,0,0				tunnel_tile_5,-180,0							Rough Tunnel Tile Straight,0,0,tunnel_tile_blocker@0 10 0 0 0 0														tunnel_tile_5,0,0				tunnel_tile_5,-180,0								
base_station,0,0	tunnel_tile_5,90,0	tunnel_tile_1,90,0,tunnel_tile_blocker@0 10 0 0 0 0	tunnel_tile_1,90,0,tunnel_tile_blocker@10 0 0 0 0 0;Phone@5.633999 0.142002 0.006 -90 0 135				Rough Tunnel Tile 90-degree Turn,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0,Extinguisher@8.699997 0.84827 0.05 -90 0 -180	tunnel_tile_5,90,0	tunnel_tile_1,90,0,tunnel_tile_blocker@10 0 0 0 0 0		tunnel_tile_2,0,0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0	tunnel_tile_1,-90,0,tunnel_tile_blocker@0 10 0 0 0 0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	constrained_tunnel_tile_short,90,0	tunnel_tile_5,90,0,Rescue Randy@7.709015 2.26315 0.013684 0 0 -0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_2,-90,0		tunnel_tile_5,0,0				Rough Tunnel Tile 90-degree Turn,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	tunnel_tile_5,90,0,tunnel_tile_blocker@10 0 0 0 0 0			
		tunnel_tile_5,-180,0	tunnel_tile_5,-180,0											tunnel_tile_5,0,0		tunnel_tile_5,-180,0			tunnel_tile_5,-180,0							tunnel_tile_5,-180,0		tunnel_tile_5,0,0,Backpack@0.992004 12.02312 0.1 -90 0 -180												
		tunnel_tile_5,-180,0,tunnel_tile_blocker@10 0 0 0 0 0	Rough Tunnel Tile 4-way Intersection,-180,0	tunnel_tile_5,90,0	tunnel_tile_1,90,0,tunnel_tile_blocker@0 10 0 0 0 0;tunnel_tile_blocker@10 0 0 0 0 0;Extinguisher@5.050003 0.248001 0.05 -90 0 90									tunnel_tile_2,90,0	tunnel_tile_5,90,0	tunnel_tile_2,-180,0			tunnel_tile_5,-180,0							tunnel_tile_1,-180,0,tunnel_tile_blocker@-10 0 0 0 0 0	tunnel_tile_5,90,0	tunnel_tile_2,-180,0												
		tunnel_tile_5,-180,0,tunnel_tile_blocker@20 10 0 0 0 0			tunnel_tile_5,0,0														tunnel_tile_2,90,0	Rough Tunnel Tile Straight,90,0	constrained_tunnel_tile_short,90,0,tunnel_tile_blocker@10 0 0 0 0 0					tunnel_tile_5,-180,0														
		tunnel_tile_5,-180,0			tunnel_tile_5,0,0		tunnel_tile_5,-180,0,tunnel_tile_blocker@0 10 0 0 0 0																			tunnel_tile_5,-180,0														
		tunnel_tile_5,-180,0			tunnel_tile_5,0,0		tunnel_tile_5,-180,0																			tunnel_tile_6,-180,0														
		tunnel_tile_5,-180,0,Rescue Randy@-2.291 14.514 0.013687 0 -0 135			tunnel_tile_1,90,0,tunnel_tile_blocker@-10 0 0 0 0 0	constrained_tunnel_tile_tall,90,0	tunnel_tile_1,90,0,tunnel_tile_blocker@10 0 0 0 0 0				tunnel_tile_2,0,0	tunnel_tile_5,-90,0	tunnel_tile_5,-90,0,tunnel_tile_blocker@10 0 0 0 0 0													tunnel_tile_5,-180,1														
